game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
3252459,540,2,,Jan Kozak,1075,2,,Ricardo Sá Pinto,Away,0
3252484,985,1,,Ole Gunnar Solskjaer,669,0,,Savo Milosevic,Away,1
3252489,3709,1,,Pepe Bordalás,26,2,,Marcel Koller,Away,0
3252502,618,2,,Claude Puel,18303,2,,Volodymyr Sharan,Away,0
3252532,669,2,,Savo Milosevic,1090,2,,Arne Slot,Away,0
3252541,398,0,,Simone Inzaghi,273,2,,Julien Stéphan,Away,0
3252553,114,0,,Abdullah Avci,543,4,,Nuno Espírito Santo,Away,0
3252843,36678,1,,Leen van Steensel,26488,5,,Bertran Kreekels,Away,0
3253203,3385,2,,Nikolaos Nentidis,62518,1,,Alexandros Kourtoglou,Away,1
3254691,3729,1,7,Igor Cherevchenko,964,3,3,Sergey Semak,Away,0
3256805,41201,0,16,Aleksandr Grigoryan,2696,2,11,Miodrag Bozovic,Away,0
3256811,3729,0,8,Igor Cherevchenko,16704,2,4,Murad Musaev,Away,0
3256812,3725,0,15,Rashid Rakhimov,41231,2,10,Aleksandr Tochilin,Away,0
3258410,1083,2,,Valeriy Karpin,11126,0,,Marat Mustafin,Away,1
3260172,3426,5,,Claus Nörgaard,22235,2,,Kim Jörgensen,Away,1
3261784,5219,0,,Leonidas Vokolos,4608,1,,Sakis Papavasiliou,Away,0
3263177,18105,1,11,Eghishe Melikyan,660,4,1,Luís Castro,Away,0
3264423,3725,1,14,Igor Shalimov,28095,0,6,Vadim Evseev,Away,1
3264424,121,0,15,Dmitri Khokhlov,14589,2,8,Vladimir Fedotov,Away,0
3264430,232,1,12,Sergey Kuznetsov,16704,2,3,Murad Musaev,Away,0
3264447,660,0,1,Luís Castro,2740,1,11,Yuriy Maksymov,Away,0
3264452,660,2,1,Luís Castro,10690,1,3,Viktor Skrypnyk,Away,1
3264457,60551,0,8,Dmytro Mykhaylenko,48332,4,6,Ruslan Kostyshyn,Away,0
3264460,10690,2,2,Viktor Skrypnyk,338,1,4,Oleksiy Mykhaylychenko,Away,1
3266623,1096,2,3,László Bölöni,1184,2,7,Felice Mazzù,Away,0
3266903,11127,0,6,Dmitriy Parfenov,2698,0,9,Roman Sharonov,Away,0
3266926,41201,2,14,Sergey Pervushin,41231,1,16,Aleksandr Tochilin,Away,1
3266927,2410,1,5,Viktor Goncharenko,964,1,1,Sergey Semak,Away,0
3271748,6418,4,,Makis Chavos,4608,0,,Nikolaos Karabetakis,Away,1
3274394,3508,2,7,Francky Dury,354,0,6,Wouter Vrancken,Away,1
3274397,1096,1,5,László Bölöni,157,1,3,Jess Thorup,Away,0
3274403,28643,0,15,Arnauld Mercier,172,2,4,Karim Belhocine,Away,0
3276848,1027,1,,Gary Bowyer,3054,1,,Sam Ricketts,Away,0
3276853,352,1,,Richie Wellens,3371,1,,Michael Duff,Away,0
3276856,3697,1,,Derek Adams,1181,4,,Simon Grayson,Away,0
3276871,27045,2,,Wayne Brown,1150,1,,Ross Embleton,Away,1
3276878,1020,2,,Kenny Jackett,12020,1,,Simon Weaver,Away,1
3279216,533,3,,Alfred Schreuder,27,4,,Hansi Flick,Away,0
3280877,1083,1,3,Valeriy Karpin,3725,1,12,Igor Shalimov,Away,0
3280879,14589,1,14,Konstantin Emeljanov,2696,1,15,Miodrag Bozovic,Away,0
3281954,3368,5,,Paco López,74219,0,,Nacho Aznar,Away,1
3286268,34148,2,,Miguel Rivera,16492,1,,Manolo Herrero,Away,1
3286584,1211,3,,John Askey,3371,1,,Michael Duff,Away,1
3286585,1220,2,,Chris Beech,3455,2,,Mark Cooper,Away,0
3286588,2962,1,,Matt Doughty,1020,2,,Kenny Jackett,Away,0
3286589,3820,0,,John Dempster,3054,2,,Sam Ricketts,Away,0
3288607,3026,0,,David Hopkin,2578,3,,Tommy Wright,Away,0
3289606,2722,0,,Leonardo Semplici,5,3,,Stefano Pioli,Away,0
3290296,3999,0,9,Apostolos Mantzios,265,2,5,Georgios Donis,Away,0
3290300,683,5,1,Pedro Martins,6676,0,11,Milan Rastavac,Away,1
3290540,6418,0,14,Makis Chavos,128,0,12,Georgios Paraschos,Away,0
3291619,31,2,,Jürgen Klopp,2407,1,,Antonio Mohamed,Away,1
3291942,6195,1,,Gennaro Gattuso,131,3,,Quique Setién,Away,0
3291992,985,1,,Ole Gunnar Solskjaer,2282,1,,Philippe Clement,Away,0
3292973,49364,6,,Sergiy Lavrynenko,61825,7,,Vasyl Kobin,Away,0
3294614,12321,4,,Josep Lluís Martí,7077,2,,Borja Jiménez,Away,1
3294624,16795,1,,Diego Martínez,68062,0,,Chus Trujillo,Away,1
3300409,6418,1,,Makis Chavos,169,1,,Nikodimos Papavasiliou,Away,0
3300767,3008,3,,Grant McCann,1194,2,,Paul Warne,Away,1
3300783,1211,1,,John Askey,281,4,,Pep Guardiola,Away,0
3300794,29,0,,Carlo Ancelotti,31,1,,Jürgen Klopp,Away,0
3302914,3508,1,8,Francky Dury,1096,2,3,László Bölöni,Away,0
3302943,28643,0,16,Arnauld Mercier,354,4,7,Wouter Vrancken,Away,0
3305366,1050,3,,Javier Calleja,12321,0,,Josep Lluís Martí,Away,1
3305602,416,2,,Walter Mazzarri,5,4,,Stefano Pioli,Away,0
3306729,3021,0,,Dick Campbell,1191,2,,Lee Miller,Away,0
3306902,22,0,,Phillip Cocu,1302,0,,Keith Curle,Away,0
3306903,1035,2,,Garry Monk,1039,1,,Mark Warburton,Away,1
3306916,11,2,,Mikel Arteta,989,1,,Eddie Howe,Away,1
3307685,621,6,,Gaizka Garitano,1531,5,,Pacheta,Away,1
3307690,13,1,,Diego Simeone,4542,2,,José Manuel Aira,Away,0
3307691,418,3,,Zinédine Zidane,52397,1,,Bustu,Away,1
3309705,169,0,14,Nikodimos Papavasiliou,605,2,5,Michael Oenning,Away,0
3309806,6676,1,7,Milan Rastavac,60949,0,10,Alberto Gallego,Away,1
3309810,605,2,5,Michael Oenning,3999,2,9,Apostolos Mantzios,Away,0
3309817,1091,1,2,Abel Ferreira,128,1,12,Georgios Paraschos,Away,0
3313519,3060,0,,Savvas Pantelidis,605,0,,Michael Oenning,Away,0
3321374,124,0,,Steven Gerrard,43,1,,Daniel Stendel,Away,0
3328544,82,0,,Oliver Glasner,660,3,,Luís Castro,Away,0
3332669,15,3,,Peter Bosz,1,0,,Lukas Kwasniok,Away,1
